molecule,label
CCCC(=O)N1CCC1(C)C(=O)Nc1ccc(C)c(C)c1,0
CC1CN(C(=O)COC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCCCC3)c2)CC(C)O1,0
COc1ccc(NS(=O)(=O)c2ccc3c(c2)CCN3C(=O)CCC(=O)O)cc1OC,0
COC(=O)c1sc(NC(=O)CSc2nnc(Cn3nnc4ccccc43)n2C)nc1C,0
O=S(=O)(NCCc1csc(-c2ccc(F)cc2)n1)c1ccc(Cl)cc1,0
O=C1SCCC1NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,0
COc1cc2nc(N(CCCN(C)C)C(=O)c3ccc(S(=O)(=O)N4CCc5ccccc54)cc3)sc2cc1OC,0
O=C(N1CCOCC1)N1CCN(c2ccc(F)cc2)CC1,0
Cc1ccccc1-n1ncc(C(C)NC(=O)c2ccccc2)c1C,0
O=C(CC(=O)c1ccccc1)CC(O)(C=Cc1ccccc1)c1ccccc1,0
CC(C)CC1CN=C(Nc2ccccc2)N1CCC(C)c1ccccc1,0
N#CC(c1ccccc1)N(CCCCl)C(=O)c1ccc(Br)cc1,0
COc1ccc(-c2[nH]c(-c3cc(OC)c4c(c3)OCO4)nc2-c2ccccc2)cc1,0
COc1cccc(NC(=S)N(CCN(C)C)C(C)c2ccco2)c1,0
CC1N=C2C=CC=CN2C(=O)C1=NC(=O)c1ccccc1Cl,0
COc1cccc(CNC(=O)C2Cc3cc(S(=O)(=O)N4CCCCCC4)ccc3N2C(C)=O)c1,0
COCc1c(C(=O)OCC(=O)NCCc2ccc(S(N)(=O)=O)cc2)oc2ccccc12,0
Cn1cc(S(=O)(=O)NCc2ccc3c(c2)OCO3)c(C(F)(F)F)n1,0
CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,1
CN(C)C(=O)Oc1ccc(Cl)c2cccnc12,0
O=C(NN=Cc1cccc(OC(=O)c2cccc(Br)c2)c1)c1cccnc1,0
Cc1cccc(Cc2nnc(CCC(=O)N(C)CCc3ccccc3)o2)c1,0
Cc1c(O)n2c3c(cc(NC(=O)C(=O)NCCN4CCOCC4)cc13)CCC2,0
CCN(C(=O)COC(=O)c1cc(C)n(-c2ccc(F)cc2)c1C)C1C=S(O)(O)=CC1,0
CCc1ccc(CNCc2c(C(=O)O)n(Cc3ccc(F)cc3Cl)c3cc(OC)ccc23)cc1,0
O=C(Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCCC1)c1ccccc1C(F)(F)F,0
CC(=O)Nc1ccc(NC(=O)C(C)Oc2ccc(C)nc2[N+](=O)[O-])cc1,0
CC(C)C(NC(=O)c1ccccc1)C(=O)NCc1ccccn1,0
CCc1ccc(NC(=O)Cn2ccn(-c3ccc(C)c(C)c3)c(=O)c2=O)cc1,0
COCCn1c(CCC(=O)O)nc2c1c(=O)[nH]c(=O)n2CC(C)C,0
COc1ccc(C(=O)NCC2(c3ccccc3)CCOCC2)cc1,0
