dataset,representation,encoding,model,combination,test_bacc_mean,test_bacc_std
DRD3,smiles,random,gru_balanced,68,0.7770666666666666,0.03698071569525569
DRD3,smiles,onehot,gru_balanced,13,0.7742666666666667,0.026116320993245238
DRD3,smiles,learnable,cnn_balanced,358,0.7726666666666667,0.024261537919559473
DRD3,smiles,learnable,gru_balanced,188,0.7684,0.01894365915609288
DRD3,selfies,random,gru_balanced,208,0.7634666666666666,0.03220324345293328
DRD3,smiles,onehot,cnn_balanced,69,0.7628,0.026342698756539298
DRD3,selfies,learnable,gru_balanced,208,0.7538666666666667,0.02143475889504918
DRD3,smiles,random,cnn_balanced,138,0.7484,0.045408956532091066
DRD3,selfies,onehot,gru_balanced,28,0.7338666666666667,0.04294782364166495
DRD3,smiles,random,transformer_balanced,405,0.7222666666666667,0.0368868540268752
DRD3,selfies,learnable,cnn_balanced,394,0.7173333333333334,0.014446837408620293
DRD3,selfies,onehot,cnn_balanced,33,0.7148000000000001,0.02545724083853376
DRD3,smiles,learnable,transformer_balanced,262,0.7108000000000001,0.019755843017531104
DRD3,selfies,random,cnn_balanced,358,0.7033333333333334,0.04313493041865522
DRD3,selfies,onehot,transformer_balanced,26,0.6932,0.02418594633252955
DRD3,smiles,onehot,transformer_balanced,55,0.6916,0.04417259079766292
DRD3,selfies,learnable,transformer_balanced,357,0.6902666666666667,0.04565883144462734
DRD3,selfies,random,transformer_balanced,309,0.6612,0.05638502559289222
FEN1,smiles,onehot,cnn_balanced,65,0.6346666666666667,0.018846750383023626
FEN1,smiles,learnable,cnn_balanced,34,0.6326666666666666,0.03346640106136302
FEN1,smiles,random,cnn_balanced,33,0.6310666666666667,0.03052314240412055
FEN1,selfies,random,cnn_balanced,245,0.5936,0.039065984066846596
FEN1,selfies,learnable,gru_balanced,216,0.5934666666666668,0.053442222176020265
FEN1,smiles,learnable,gru_balanced,236,0.5924000000000001,0.03037133151143983
FEN1,selfies,onehot,cnn_balanced,66,0.5898666666666667,0.03686226616292965
FEN1,selfies,learnable,cnn_balanced,357,0.5831999999999999,0.02674122909167292
FEN1,selfies,onehot,gru_balanced,56,0.5733333333333334,0.04098997167329807
FEN1,selfies,onehot,transformer_balanced,70,0.5725333333333333,0.047301209756669474
FEN1,smiles,onehot,gru_balanced,46,0.5631999999999999,0.032092643670750744
FEN1,selfies,random,gru_balanced,189,0.5606666666666668,0.03872409528388696
FEN1,smiles,random,gru_balanced,188,0.5557333333333333,0.034816598851058866
FEN1,smiles,onehot,transformer_balanced,78,0.5461333333333334,0.03888078645752367
FEN1,selfies,learnable,transformer_balanced,273,0.5377333333333334,0.04642528046944538
FEN1,selfies,random,transformer_balanced,369,0.5141333333333333,0.028266666666666662
FEN1,smiles,learnable,transformer_balanced,370,0.5038666666666667,0.015699398431504027
FEN1,smiles,random,transformer_balanced,429,0.5,0.0
MAP4K2,smiles,learnable,cnn_balanced,245,0.7638666666666667,0.015146103275907095
MAP4K2,smiles,random,cnn_balanced,245,0.7428,0.02117188911951151
MAP4K2,smiles,onehot,gru_balanced,13,0.7410666666666665,0.04823756028472233
MAP4K2,smiles,learnable,gru_balanced,148,0.7386666666666666,0.02636495991104691
