dataset,representation,test_bacc_mean,test_bacc_std
DRD3,smiles,0.8122666666666666,0.030262848511004397
DRD3,selfies,0.7981333333333334,0.027688425178924312
FEN1,smiles,0.6537333333333333,0.022177466041006563
FEN1,selfies,0.6241333333333334,0.018029112260144402
MAP4K2,smiles,0.7352000000000001,0.020068327727485888
MAP4K2,selfies,0.7270666666666667,0.04039933992860112
PIN1,smiles,0.6298666666666667,0.032051070358275265
PIN1,selfies,0.6194666666666666,0.029100286367434038
VDR,smiles,0.5825333333333333,0.04034385537683115
VDR,selfies,0.5629333333333333,0.013502921494583677
