dataset,encoding,test_ci_mean,test_ci_std
CHEMBL2147_Ki,onehot,0.6954647795253088,0.08515237699983166
CHEMBL2147_Ki,learnable,0.6801033857171774,0.08936215145249174
CHEMBL2147_Ki,random,0.6673161088165334,0.06792979190224817
CHEMBL214_Ki,learnable,0.6946674650784671,0.06078632194620805
CHEMBL214_Ki,onehot,0.6936158951579519,0.051733084247966216
CHEMBL214_Ki,random,0.6841642614687069,0.04005029647355803
CHEMBL233_Ki,learnable,0.5868169715989056,0.020805342916644116
CHEMBL233_Ki,random,0.5840314598043943,0.04377588366524998
CHEMBL233_Ki,onehot,0.5823858081919482,0.023745689099809647
CHEMBL234_Ki,onehot,0.6519372362370641,0.04886342755775676
CHEMBL234_Ki,learnable,0.6518262137385846,0.04217997995515824
CHEMBL234_Ki,random,0.6443105517331441,0.05760296279312493
CHEMBL287_Ki,onehot,0.7017003292481439,0.044516033365320666
CHEMBL287_Ki,learnable,0.6893081784606612,0.06162990926519049
CHEMBL287_Ki,random,0.6791416194031616,0.05576463022087283
